year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2015,1,AAPL,XOM,MSFT,JNJ,WMT,PG,VZ,BRK-B,CVX,AMZN,T,KO,WFC,PFE,META,DIS,GOOGL,JPM,PCG,MRK
2015,2,AAPL,XOM,MSFT,JNJ,WMT,VZ,AMZN,PG,DIS,CVX,BRK-B,WFC,PFE,T,KO,META,JPM,GOOGL,INTC,PCG
2015,3,AAPL,XOM,MSFT,JNJ,WMT,VZ,PG,AMZN,DIS,CVX,BRK-B,PFE,WFC,META,T,KO,JPM,GOOGL,IBM,PCG
2015,4,AAPL,XOM,MSFT,JNJ,AMZN,VZ,WMT,DIS,CVX,PG,BRK-B,WFC,T,PFE,JPM,KO,META,GOOGL,IBM,MRK
2015,5,AAPL,XOM,MSFT,JNJ,AMZN,VZ,DIS,WMT,WFC,JPM,BRK-B,CVX,PG,T,PFE,KO,META,GOOGL,IBM,MRK
2015,6,AAPL,XOM,MSFT,JNJ,AMZN,DIS,VZ,T,WFC,WMT,JPM,META,PG,BRK-B,PFE,CVX,KO,GOOGL,IBM,GILD
2015,7,AAPL,XOM,MSFT,AMZN,JNJ,DIS,META,VZ,WFC,JPM,PFE,GOOGL,WMT,T,BRK-B,PG,KO,CVX,GILD,MRK
2015,8,AAPL,XOM,MSFT,AMZN,JNJ,META,VZ,GOOGL,DIS,T,JPM,WFC,WMT,BRK-B,PFE,KO,PG,CVX,MRK,GILD
2015,9,AAPL,XOM,MSFT,AMZN,JNJ,META,GOOGL,DIS,VZ,PFE,T,WFC,WMT,KO,JPM,PG,BRK-B,CVX,PCG,GE
2015,10,AAPL,MSFT,XOM,AMZN,JNJ,META,GOOGL,DIS,VZ,WFC,JPM,KO,PFE,T,PG,BRK-B,CVX,WMT,GE,INTC
2015,11,AAPL,MSFT,XOM,AMZN,JNJ,META,GOOGL,DIS,JPM,VZ,WFC,KO,T,PG,BRK-B,PFE,CVX,GE,WMT,INTC
2015,12,MSFT,AAPL,AMZN,XOM,JNJ,META,GOOGL,VZ,DIS,JPM,PG,T,KO,WFC,PFE,BRK-B,CVX,WMT,GE,INTC
